2022-08-18 19:44:12.458  INFO [ProcessPensionService,,] 18984 --- [restartedMain] .c.ProcessPensionMicroserviceApplication : Starting ProcessPensionMicroserviceApplication using Java 15.0.2 on LAPTOP-PDMVOPJG with PID 18984 (C:\Users\hp\Desktop\PensionManagementSystem-master\process-pension-microservice\target\classes started by hp in C:\Users\hp\Desktop\PensionManagementSystem-master\process-pension-microservice)
2022-08-18 19:44:12.484  INFO [ProcessPensionService,,] 18984 --- [restartedMain] .c.ProcessPensionMicroserviceApplication : No active profile set, falling back to default profiles: default
2022-08-18 19:44:12.806  INFO [ProcessPensionService,,] 18984 --- [restartedMain] .e.DevToolsPropertyDefaultsPostProcessor : Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2022-08-18 19:44:12.883  INFO [ProcessPensionService,,] 18984 --- [restartedMain] .e.DevToolsPropertyDefaultsPostProcessor : For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2022-08-18 19:44:20.412  INFO [ProcessPensionService,,] 18984 --- [restartedMain] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2022-08-18 19:44:20.655  INFO [ProcessPensionService,,] 18984 --- [restartedMain] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 212 ms. Found 1 JPA repository interfaces.
2022-08-18 19:44:22.508  INFO [ProcessPensionService,,] 18984 --- [restartedMain] o.s.cloud.context.scope.GenericScope     : BeanFactory id=3b6e0fcb-b43f-3981-8aad-dc08376c1bc3
2022-08-18 19:44:27.724  INFO [ProcessPensionService,,] 18984 --- [restartedMain] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port(s): 9099 (http)
2022-08-18 19:44:27.776  INFO [ProcessPensionService,,] 18984 --- [restartedMain] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2022-08-18 19:44:27.778  INFO [ProcessPensionService,,] 18984 --- [restartedMain] org.apache.catalina.core.StandardEngine  : Starting Servlet engine: [Apache Tomcat/9.0.50]
2022-08-18 19:44:29.266  INFO [ProcessPensionService,,] 18984 --- [restartedMain] o.a.c.c.C.[.[localhost].[/process]       : Initializing Spring embedded WebApplicationContext
2022-08-18 19:44:29.270  INFO [ProcessPensionService,,] 18984 --- [restartedMain] w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 16383 ms
2022-08-18 19:44:30.110  INFO [ProcessPensionService,,] 18984 --- [restartedMain] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Starting...
2022-08-18 19:44:31.756  INFO [ProcessPensionService,,] 18984 --- [restartedMain] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Start completed.
2022-08-18 19:44:31.826  INFO [ProcessPensionService,,] 18984 --- [restartedMain] o.s.b.a.h2.H2ConsoleAutoConfiguration    : H2 console available at '/h2-console'. Database available at 'jdbc:h2:mem:testDB'
2022-08-18 19:44:36.348  INFO [ProcessPensionService,,] 18984 --- [restartedMain] o.hibernate.jpa.internal.util.LogHelper  : HHH000204: Processing PersistenceUnitInfo [name: default]
2022-08-18 19:44:36.852  INFO [ProcessPensionService,,] 18984 --- [restartedMain] org.hibernate.Version                    : HHH000412: Hibernate ORM core version 5.4.32.Final
2022-08-18 19:44:39.881  INFO [ProcessPensionService,,] 18984 --- [restartedMain] o.hibernate.annotations.common.Version   : HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
2022-08-18 19:44:41.275  INFO [ProcessPensionService,,] 18984 --- [restartedMain] org.hibernate.dialect.Dialect            : HHH000400: Using dialect: org.hibernate.dialect.H2Dialect
2022-08-18 19:44:48.589  INFO [ProcessPensionService,,] 18984 --- [restartedMain] o.h.e.t.j.p.i.JtaPlatformInitiator       : HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2022-08-18 19:44:48.644  INFO [ProcessPensionService,,] 18984 --- [restartedMain] j.LocalContainerEntityManagerFactoryBean : Initialized JPA EntityManagerFactory for persistence unit 'default'
2022-08-18 19:44:49.093  WARN [ProcessPensionService,,] 18984 --- [restartedMain] o.s.b.d.a.OptionalLiveReloadServer       : Unable to start LiveReload server
2022-08-18 19:44:50.741  WARN [ProcessPensionService,,] 18984 --- [restartedMain] JpaBaseConfiguration$JpaWebConfiguration : spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2022-08-18 19:45:02.854  INFO [ProcessPensionService,,] 18984 --- [restartedMain] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat started on port(s): 9099 (http) with context path '/process'
2022-08-18 19:45:04.502  INFO [ProcessPensionService,,] 18984 --- [restartedMain] d.s.w.p.DocumentationPluginsBootstrapper : Context refreshed
2022-08-18 19:45:04.615  INFO [ProcessPensionService,,] 18984 --- [restartedMain] d.s.w.p.DocumentationPluginsBootstrapper : Found 1 custom documentation plugin(s)
2022-08-18 19:45:04.664  INFO [ProcessPensionService,,] 18984 --- [restartedMain] s.d.s.w.s.ApiListingReferenceScanner     : Scanning for api listing references
2022-08-18 19:45:05.500  INFO [ProcessPensionService,,] 18984 --- [restartedMain] .c.ProcessPensionMicroserviceApplication : Started ProcessPensionMicroserviceApplication in 56.052 seconds (JVM running for 61.127)
2022-08-18 19:47:15.814  INFO [ProcessPensionService,,] 18984 --- [http-nio-9099-exec-1] o.a.c.c.C.[.[localhost].[/process]       : Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-08-18 19:47:15.815  INFO [ProcessPensionService,,] 18984 --- [http-nio-9099-exec-1] o.s.web.servlet.DispatcherServlet        : Initializing Servlet 'dispatcherServlet'
2022-08-18 19:47:15.821  INFO [ProcessPensionService,,] 18984 --- [http-nio-9099-exec-1] o.s.web.servlet.DispatcherServlet        : Completed initialization in 5 ms
